Carpet Area,Bedrooms,Bathrooms,Floors,Year Built,Location,Price (in rupees)
"1,360",5,3.2,3.0,1922,Pune,"7,456,748.0"
"4,272",1,1.3,1.5,1942,Mumbai,"32,195,281.5"
"3,592",5,4.0,2.5,1900,Rural,"11,227,396.799999999"
966,4,3.3,1.0,1988,Rural,"3,238,630.1999999997"
"4,926",1,1.8,1.0,1952,Delhi,"32,246,368.7"
"3,944",1,1.8,2.5,2023,Jaipur,"15,884,281.600000001"
"3,671",5,3.9,3.0,1986,Mumbai,"28,503,184.5"
"3,419",5,1.6,2.5,1954,Delhi,"23,050,493.7"
630,3,1.7,2.5,2006,Pune,"3,472,381.0"
"2,185",5,2.1,2.5,1948,Jaipur,"9,145,134.4"
"1,269",1,3.0,1.0,1999,Jaipur,"5,317,944.800000001"
"2,891",5,2.3,1.5,1939,Bangalore,"18,080,954.4"
"2,933",3,1.9,1.5,1979,Rural,"9,054,249.0"
"1,684",2,1.8,1.5,1948,Bangalore,"10,432,939.2"
"3,885",4,1.4,1.5,1962,Pune,"19,943,220.0"
"4,617",1,2.6,1.5,1989,Jaipur,"18,697,199.2"
"3,404",3,1.8,1.5,1998,Pune,"17,313,120.0"
974,4,2.0,2.0,1953,Mumbai,"8,162,059.5"
"1,582",5,1.0,2.0,2001,Delhi,"11,085,991.8"
"3,058",5,2.6,1.0,1954,Bangalore,"19,089,022.8"
"2,547",2,3.1,2.5,1951,Mumbai,"19,627,504.5"
"3,247",5,3.8,2.0,1998,Rural,"10,159,867.2"
"1,475",4,1.6,2.0,2013,Jaipur,"6,302,594.4"
"2,306",3,3.8,1.0,1900,Delhi,"15,588,727.700000001"
689,2,2.1,1.5,1900,Rural,"2,191,383.6"
"3,234",4,3.4,1.5,1909,Mumbai,"25,014,918.0"
"3,505",3,3.7,2.5,1993,Mumbai,"27,089,808.0"
"2,399",4,3.9,1.5,1900,Mumbai,"18,923,664.0"
"1,767",5,2.0,2.0,1904,Jaipur,"7,526,365.600000001"
"2,028",4,1.8,2.0,1992,Bangalore,"12,830,678.4"
"3,702",2,2.3,2.0,1976,Jaipur,"15,076,801.600000001"
"4,056",4,2.7,3.0,1978,Delhi,"27,004,179.8"
"4,390",1,3.1,1.5,1995,Pune,"22,266,724.0"
"1,146",5,3.1,3.0,1975,Jaipur,"5,044,148.800000001"
"3,388",4,1.3,1.5,1940,Bangalore,"20,962,933.2"
"2,935",3,2.8,2.0,1951,Rural,"9,073,729.2"
"1,100",5,1.5,2.5,1924,Pune,"5,977,716.0"
"2,863",3,3.1,2.5,1910,Delhi,"19,087,463.2"
"2,561",2,3.9,2.5,2003,Bangalore,"15,859,452.0"
741,1,3.3,3.0,1999,Mumbai,"6,006,246.0"
"2,541",4,3.1,3.0,1966,Jaipur,"10,665,216.8"
"3,324",5,1.2,1.0,2007,Jaipur,"13,753,799.200000001"
"3,112",4,1.6,1.5,2000,Delhi,"20,735,726.7"
"1,863",4,2.1,3.0,1984,Jaipur,"7,821,384.800000001"
"1,978",5,3.8,2.5,1904,Bangalore,"12,684,999.6"
"3,056",1,2.0,1.5,1965,Delhi,"20,224,653.8"
"1,275",1,3.4,2.5,1929,Bangalore,"8,072,059.199999999"
"4,514",2,1.3,3.0,2022,Jaipur,"18,217,251.2"
534,5,3.0,2.5,1910,Rural,"1,942,898.4"
"3,652",5,3.3,1.5,1939,Bangalore,"22,620,720.0"
"2,455",3,2.6,1.5,2024,Mumbai,"19,064,533.5"
"2,085",3,3.3,3.0,1909,Mumbai,"16,320,549.0"
"4,443",3,3.2,1.5,1962,Bangalore,"27,184,161.599999998"
"3,573",1,2.4,2.0,1929,Pune,"18,079,576.0"
"1,521",2,3.6,2.0,1991,Jaipur,"6,317,984.0"
"3,961",2,2.0,2.0,1935,Bangalore,"24,237,282.0"
"3,113",4,2.3,2.0,2000,Pune,"16,005,328.0"
"4,343",2,2.6,1.0,1910,Delhi,"28,734,590.3"
"2,000",3,1.4,2.5,1964,Jaipur,"8,235,930.4"
661,5,2.5,1.5,1954,Bangalore,"4,637,296.8"
"4,797",4,2.0,2.0,1984,Pune,"24,447,472.0"
"2,481",1,1.8,2.0,1925,Bangalore,"15,002,967.6"
"1,495",2,2.7,3.0,1989,Pune,"7,729,550.0"
"3,842",5,2.0,3.0,2023,Jaipur,"15,839,575.200000001"
"4,298",3,3.6,1.5,1975,Mumbai,"32,817,565.5"
"1,775",1,2.2,1.0,1976,Delhi,"11,835,800.6"
"1,516",1,2.2,2.5,1915,Rural,"4,661,473.8"
837,2,3.9,1.0,1919,Bangalore,"5,414,295.6"
"1,378",5,2.0,3.0,2002,Bangalore,"9,078,969.6"
"1,576",3,1.4,1.5,2020,Bangalore,"10,007,926.799999999"
"4,493",3,3.6,2.0,1912,Jaipur,"18,377,504.0"
879,3,3.8,1.0,1991,Bangalore,"5,832,954.0"
992,3,1.7,1.5,1952,Delhi,"6,912,920.3"
"2,562",2,3.6,1.5,1975,Delhi,"17,070,470.3"
"4,384",2,2.5,2.0,1983,Pune,"22,197,612.0"
564,5,1.1,1.0,1915,Delhi,"4,332,029.0"
"3,068",4,2.6,2.0,1976,Jaipur,"12,630,396.0"
"2,527",2,3.5,3.0,1966,Rural,"7,789,484.399999999"
"3,195",3,2.2,1.5,1969,Pune,"16,343,079.0"
"1,995",5,2.7,2.0,2022,Rural,"6,394,391.399999999"
891,3,1.4,2.0,1971,Pune,"4,868,789.0"
"4,974",2,3.5,1.0,1954,Mumbai,"37,861,849.5"
"4,061",5,1.3,2.0,1960,Rural,"12,563,566.2"
"2,778",3,1.3,2.0,2014,Jaipur,"11,396,530.4"
"3,599",4,3.8,2.5,1970,Rural,"11,178,598.2"
700,1,3.6,3.0,1912,Jaipur,"3,035,220.8000000003"
"3,604",1,2.7,3.0,2007,Delhi,"23,673,163.8"
"2,954",3,1.3,2.0,1955,Pune,"15,191,536.0"
"4,145",1,2.6,3.0,2007,Jaipur,"16,807,494.400000002"
"1,304",4,3.8,2.5,1951,Pune,"7,186,389.0"
"3,231",4,2.8,2.0,2019,Pune,"16,756,201.0"
"3,273",3,1.6,1.0,1931,Bangalore,"20,000,178.0"
"2,070",4,3.7,1.5,1986,Mumbai,"16,321,404.0"
"3,190",1,3.6,2.5,1968,Pune,"16,270,450.0"
"4,340",3,2.6,3.0,2006,Bangalore,"26,626,500.0"
"1,528",1,3.6,1.5,1991,Mumbai,"11,813,125.5"
"1,002",4,1.2,3.0,2007,Pune,"5,416,475.0"
"4,993",4,2.4,1.5,1921,Jaipur,"20,466,258.400000002"
"1,370",5,1.5,1.5,1952,Pune,"7,454,909.0"
"4,988",2,3.5,1.5,1960,Mumbai,"37,864,083.0"
706,2,3.9,2.5,1909,Mumbai,"5,904,267.0"
"1,984",3,3.8,2.0,1979,Delhi,"13,646,085.700000001"
"1,363",1,2.5,1.0,2019,Mumbai,"10,516,306.5"
"3,290",2,2.5,3.0,2015,Pune,"16,731,429.0"
"1,063",3,3.7,1.5,1909,Mumbai,"8,789,202.0"
"4,691",4,3.2,3.0,1999,Rural,"14,427,549.6"
"2,257",2,1.2,2.0,2018,Rural,"6,967,617.6"
"2,178",1,1.4,1.5,2020,Rural,"6,597,659.399999999"
"3,742",5,3.9,3.0,1996,Mumbai,"29,089,780.5"
"1,559",5,2.1,1.5,2020,Jaipur,"6,767,078.4"
